,name,birthdate,positions
61,James E. Talmage,(1862-09-21)21 September 1862,"Quorum of the Twelve Apostles, called by Joseph F. Smith, 8 December 1911 (1911-12-08) – 27 July 1933 (1933-07-27)LDS Church Apostle, called by Joseph F. Smith, 8 December 1911 (1911-12-08) – 27 July 1933 (1933-07-27)"
62,Stephen L Richards,"(1879-06-18)June 18, 1879","First Counselor in the First Presidency, called by David O. McKay, April 9, 1951 (1951-04-09) – May 19, 1959 (1959-05-19)Quorum of the Twelve Apostles, called by Joseph F. Smith, January 18, 1917 (1917-01-18) – April 9, 1951 (1951-04-09)LDS Church Apostle, called by Joseph F. Smith, January 18, 1917 (1917-01-18) – May 19, 1959 (1959-05-19)"
63,Richard R. Lyman,"(1870-11-23)November 23, 1870","Quorum of the Twelve Apostles, called by Joseph F. Smith, April 7, 1918 (1918-04-07) – November 12, 1943 (1943-11-12)LDS Church Apostle, called by Joseph F. Smith, April 7, 1918 (1918-04-07) – November 12, 1943 (1943-11-12)"
64,Melvin J. Ballard,"(1873-02-09)February 9, 1873","Quorum of the Twelve Apostles, called by Heber J. Grant, January 7, 1919 (1919-01-07) – July 30, 1939 (1939-07-30)LDS Church Apostle, called by Heber J. Grant, January 7, 1919 (1919-01-07) – July 30, 1939 (1939-07-30)"
65,John A. Widtsoe,(1872-01-31)31 January 1872,"Quorum of the Twelve Apostles, called by Heber J. Grant, 17 March 1921 (1921-03-17) – 29 November 1952 (1952-11-29)LDS Church Apostle, called by Heber J. Grant, 17 March 1921 (1921-03-17) – 29 November 1952 (1952-11-29)"
66,Joseph F. Merrill,"(1868-08-24)August 24, 1868","Quorum of the Twelve Apostles, called by Heber J. Grant, October 8, 1931 (1931-10-08) – February 3, 1952 (1952-02-03)LDS Church Apostle, called by Heber J. Grant, October 8, 1931 (1931-10-08) – February 3, 1952 (1952-02-03)"
67,Charles A. Callis,"(1865-05-04)May 4, 1865","Quorum of the Twelve Apostles, called by Heber J. Grant, October 12, 1933 (1933-10-12) – January 21, 1947 (1947-01-21)LDS Church Apostle, called by Heber J. Grant, October 12, 1933 (1933-10-12) – January 21, 1947 (1947-01-21)"
68,J. Reuben Clark,"(1871-09-01)September 1, 1871","First Counselor in the First Presidency, called by David O. McKay, June 12, 1959 (1959-06-12) – October 6, 1961 (1961-10-06)Second Counselor in the First Presidency, called by David O. McKay, April 9, 1951 (1951-04-09) – June 12, 1959 (1959-06-12)First Counselor in the First Presidency, called by George Albert Smith, May 21, 1945 (1945-05-21) – April 4, 1951 (1951-04-04)First Counselor in the First Presidency, called by Heber J. Grant, October 6, 1934 (1934-10-06) – May 14, 1945 (1945-05-14)Quorum of the Twelve Apostles[16], October 11, 1934 (1934-10-11) – October 11, 1934 (1934-10-11)LDS Church Apostle, called by Heber J. Grant, October 11, 1934 (1934-10-11) – October 6, 1961 (1961-10-06)Second Counselor in the First Presidency, called by Heber J. Grant, April 6, 1933 (1933-04-06) – October 6, 1934 (1934-10-06)"
69,Alonzo A. Hinckley,"(1870-04-23)April 23, 1870","Quorum of the Twelve Apostles, called by Heber J. Grant, October 11, 1934 (1934-10-11) – December 22, 1936 (1936-12-22)LDS Church Apostle, called by Heber J. Grant, October 11, 1934 (1934-10-11) – December 22, 1936 (1936-12-22)"
70,Albert E. Bowen,"(1875-10-31)October 31, 1875","Quorum of the Twelve Apostles, called by Heber J. Grant, April 8, 1937 (1937-04-08) – July 15, 1953 (1953-07-15)LDS Church Apostle, called by Heber J. Grant, April 8, 1937 (1937-04-08) – July 15, 1953 (1953-07-15)"
71,Sylvester Q. Cannon,"(1877-06-10)June 10, 1877","Quorum of the Twelve Apostles, called by Heber J. Grant, October 6, 1939 (1939-10-06) – May 29, 1943 (1943-05-29)LDS Church Apostle, called by Heber J. Grant, April 6, 1938 (1938-04-06) – May 29, 1943 (1943-05-29)Associate to the Quorum of the Twelve Apostles[17][18][19], called by Heber J. Grant, April 14, 1938 (1938-04-14) – October 6, 1939 (1939-10-06)[20]Presiding Bishop, called by Heber J. Grant, June 4, 1925 (1925-06-04) – April 6, 1938 (1938-04-06)"
72,Harold B. Lee,"(1899-03-28)March 28, 1899","11th President of the Church of Jesus Christ of Latter-day Saints, July 7, 1972 (1972-07-07) – December 26, 1973 (1973-12-26T1899)President of the Quorum of the Twelve Apostles(with Spencer W. Kimball as Acting President), January 23, 1970 (1970-01-23) – July 7, 1972 (1972-07-07)First Counselor in the First Presidency, called by Joseph Fielding Smith, January 23, 1970 (1970-01-23) – July 2, 1972 (1972-07-02)Quorum of the Twelve Apostles, called by Heber J. Grant, April 10, 1941 (1941-04-10) – January 23, 1970 (1970-01-23)LDS Church Apostle, called by Heber J. Grant, April 10, 1941 (1941-04-10) – December 26, 1973 (1973-12-26T1899)"
73,Spencer W. Kimball,"(1895-03-28)March 28, 1895","12th President of the Church of Jesus Christ of Latter-day Saints, December 30, 1973 (1973-12-30) – November 5, 1985 (1985-11-05)President of the Quorum of the Twelve Apostles, July 7, 1972 (1972-07-07) – December 30, 1973 (1973-12-30)Acting President of the Quorum of the Twelve Apostles, January 23, 1970 (1970-01-23) – July 2, 1972 (1972-07-02)Quorum of the Twelve Apostles, called by Heber J. Grant, October 7, 1943 (1943-10-07) – December 30, 1973 (1973-12-30)LDS Church Apostle, called by Heber J. Grant, October 7, 1943 (1943-10-07) – November 5, 1985 (1985-11-05)"
74,Ezra Taft Benson,"(1899-08-04)August 4, 1899","13th President of the Church of Jesus Christ of Latter-day Saints, November 10, 1985 (1985-11-10) – May 30, 1994 (1994-05-30)President of the Quorum of the Twelve Apostles, December 30, 1973 (1973-12-30) – November 10, 1985 (1985-11-10)Quorum of the Twelve Apostles, called by Heber J. Grant, October 7, 1943 (1943-10-07) – November 10, 1985 (1985-11-10)LDS Church Apostle, called by Heber J. Grant, October 7, 1943 (1943-10-07) – May 30, 1994 (1994-05-30)"
75,Mark E. Petersen,"(1900-11-07)November 7, 1900","Quorum of the Twelve Apostles, called by Heber J. Grant, April 20, 1944 (1944-04-20) – January 11, 1984 (1984-01-11)LDS Church Apostle, called by Heber J. Grant, April 20, 1944 (1944-04-20) – January 11, 1984 (1984-01-11)"
76,Matthew Cowley,"(1897-08-02)August 2, 1897","Quorum of the Twelve Apostles, called by George Albert Smith, October 11, 1945 (1945-10-11) – December 13, 1953 (1953-12-13)LDS Church Apostle, called by George Albert Smith, October 11, 1945 (1945-10-11) – December 13, 1953 (1953-12-13)"
77,Henry D. Moyle,"(1889-04-22)April 22, 1889","First Counselor in the First Presidency, called by David O. McKay, October 12, 1961 (1961-10-12) – September 18, 1963 (1963-09-18)Second Counselor in the First Presidency, called by David O. McKay, June 12, 1959 (1959-06-12) – October 12, 1961 (1961-10-12)Quorum of the Twelve Apostles, called by George Albert Smith, April 10, 1947 (1947-04-10) – June 12, 1959 (1959-06-12)LDS Church Apostle, April 10, 1947 (1947-04-10) – September 18, 1963 (1963-09-18)"
78,Delbert L. Stapley,"(1896-12-11)December 11, 1896","Quorum of the Twelve Apostles, called by George Albert Smith, October 5, 1950 (1950-10-05) – August 19, 1978 (1978-08-19)LDS Church Apostle, called by George Albert Smith, October 5, 1950 (1950-10-05) – August 19, 1978 (1978-08-19)"
79,Marion G. Romney,"(1897-09-19)September 19, 1897","President of the Quorum of the Twelve Apostles(with Howard W. Hunter as Acting President), November 10, 1985 (1985-11-10) – May 20, 1988 (1988-05-20)Quorum of the Twelve Apostles, November 5, 1985 (1985-11-05) – May 20, 1988 (1988-05-20)First Counselor in the First Presidency, called by Spencer W. Kimball, December 2, 1982 (1982-12-02) – November 5, 1985 (1985-11-05)Second Counselor in the First Presidency, called by Harold B. Lee, July 7, 1972 (1972-07-07) – December 2, 1982 (1982-12-02)Quorum of the Twelve Apostles, called by David O. McKay, October 4, 1951 (1951-10-04) – July 7, 1972 (1972-07-07)LDS Church Apostle, called by David O. McKay, October 11, 1951 (1951-10-11) – May 20, 1988 (1988-05-20)Assistant to the Quorum of the Twelve Apostles, called by Heber J. Grant, April 6, 1941 (1941-04-06) – October 4, 1951 (1951-10-04)"
80,LeGrand Richards,"(1886-02-06)February 6, 1886","Quorum of the Twelve Apostles, called by David O. McKay, April 6, 1952 (1952-04-06) – January 11, 1983 (1983-01-11)LDS Church Apostle, called by David O. McKay, April 10, 1952 (1952-04-10) – January 11, 1983 (1983-01-11)Presiding Bishop, called by Heber J. Grant, April 6, 1938 (1938-04-06) – April 6, 1952 (1952-04-06)"
81,Adam S. Bennion,"(1886-12-02)December 2, 1886","Quorum of the Twelve Apostles, called by David O. McKay, April 9, 1953 (1953-04-09) – February 11, 1958 (1958-02-11)LDS Church Apostle, called by David O. McKay, April 9, 1953 (1953-04-09) – February 11, 1958 (1958-02-11)"
82,Richard L. Evans,"(1906-03-23)March 23, 1906","Quorum of the Twelve Apostles, called by David O. McKay, October 8, 1953 (1953-10-08) – November 1, 1971 (1971-11-01)LDS Church Apostle, called by David O. McKay, October 8, 1953 (1953-10-08) – November 1, 1971 (1971-11-01)First Council of the Seventy, called by Heber J. Grant, October 7, 1938 (1938-10-07) – October 8, 1953 (1953-10-08)"
83,George Q. Morris,"(1874-02-20)February 20, 1874","Quorum of the Twelve Apostles, called by David O. McKay, April 8, 1954 (1954-04-08) – April 23, 1962 (1962-04-23)LDS Church Apostle, called by David O. McKay, April 8, 1954 (1954-04-08) – April 23, 1962 (1962-04-23)Assistant to the Quorum of the Twelve Apostles, called by David O. McKay, October 6, 1951 (1951-10-06) – April 8, 1954 (1954-04-08)"
84,Hugh B. Brown,"(1883-10-24)October 24, 1883","Quorum of the Twelve Apostles, January 18, 1970 (1970-01-18) – December 2, 1975 (1975-12-02)First Counselor in the First Presidency, called by David O. McKay, October 4, 1963 (1963-10-04) – January 18, 1970 (1970-01-18)Second Counselor in the First Presidency, called by David O. McKay, October 12, 1961 (1961-10-12) – October 4, 1963 (1963-10-04)Third Counselor in the First Presidency, called by David O. McKay, June 22, 1961 (1961-06-22) – October 12, 1961 (1961-10-12)Quorum of the Twelve Apostles, called by David O. McKay, April 10, 1958 (1958-04-10) – June 22, 1961 (1961-06-22)Apostle, called by David O. McKay, April 10, 1958 (1958-04-10) – December 2, 1975 (1975-12-02)Assistant to the Quorum of the Twelve Apostles, called by David O. McKay, October 4, 1953 (1953-10-04) – April 10, 1958 (1958-04-10)"
85,Howard W. Hunter,"(1907-11-14)November 14, 1907","14th President of the Church of Jesus Christ of Latter-day Saints, June 5, 1994 (1994-06-05) – March 3, 1995 (1995-03-03)President of the Quorum of the Twelve Apostles, May 20, 1988 (1988-05-20) – June 5, 1994 (1994-06-05)Acting President of the Quorum of the Twelve Apostles, November 10, 1985 (1985-11-10) – May 20, 1988 (1988-05-20)Quorum of the Twelve Apostles, called by David O. McKay, October 10, 1959 (1959-10-10) – June 5, 1994 (1994-06-05)LDS Church Apostle, called by David O. McKay, October 15, 1959 (1959-10-15) – March 3, 1995 (1995-03-03)"
86,Gordon B. Hinckley,"(1910-06-23)June 23, 1910","15th President of the Church of Jesus Christ of Latter-day Saints, March 12, 1995 (1995-03-12) – January 27, 2008 (2008-01-27)President of the Quorum of the Twelve Apostles(with Boyd K. Packer as Acting President), June 5, 1994 (1994-06-05) – March 12, 1995 (1995-03-12)First Counselor in the First Presidency, called by Howard W. Hunter, June 5, 1994 (1994-06-05) – March 3, 1995 (1995-03-03)First Counselor in the First Presidency, called by Ezra Taft Benson, November 10, 1985 (1985-11-10) – June 5, 1994 (1994-06-05)Second Counselor in the First Presidency, called by Spencer W. Kimball, December 2, 1982 (1982-12-02) – November 5, 1985 (1985-11-05)Counselor in the First Presidency, called by Spencer W. Kimball, July 23, 1981 (1981-07-23) – December 2, 1982 (1982-12-02)Quorum of the Twelve Apostles, called by David O. McKay, October 5, 1961 (1961-10-05) – July 23, 1981 (1981-07-23)LDS Church Apostle, called by David O. McKay, October 5, 1961 (1961-10-05) – January 27, 2008 (2008-01-27)Assistant to the Quorum of the Twelve Apostles, called by David O. McKay, April 6, 1958 (1958-04-06) – October 5, 1961 (1961-10-05)"
87,N. Eldon Tanner,"(1898-05-09)May 9, 1898","First Counselor in the First Presidency, called by Spencer W. Kimball, December 30, 1973 (1973-12-30) – November 27, 1982 (1982-11-27)First Counselor in the First Presidency, called by Harold B. Lee, July 7, 1972 (1972-07-07) – December 26, 1973 (1973-12-26)Second Counselor in the First Presidency, called by Joseph Fielding Smith, January 23, 1970 (1970-01-23) – July 2, 1972 (1972-07-02)Second Counselor in the First Presidency, called by David O. McKay, October 4, 1963 (1963-10-04) – January 18, 1970 (1970-01-18)Quorum of the Twelve Apostles, called by David O. McKay, October 11, 1962 (1962-10-11) – October 4, 1963 (1963-10-04)LDS Church Apostle, called by David O. McKay, October 11, 1962 (1962-10-11) – November 27, 1982 (1982-11-27)Assistant to the Quorum of the Twelve Apostles, called by David O. McKay, October 8, 1960 (1960-10-08) – October 11, 1962 (1962-10-11)"
88,Thomas S. Monson,"(1927-08-21)August 21, 1927","16th President of the Church of Jesus Christ of Latter-day Saints, February 3, 2008 (2008-02-03) – January 2, 2018 (2018-01-02)President of the Quorum of the Twelve Apostles(with Boyd K. Packer as Acting President), March 12, 1995 (1995-03-12) – February 3, 2008 (2008-02-03)First Counselor in the First Presidency, called by Gordon B. Hinckley, March 12, 1995 (1995-03-12) – January 27, 2008 (2008-01-27)Second Counselor in the First Presidency, called by Ezra Taft Benson, November 10, 1985 (1985-11-10) – March 3, 1995 (1995-03-03)Quorum of the Twelve Apostles, called by David O. McKay, October 4, 1963 (1963-10-04) – November 10, 1985 (1985-11-10)LDS Church Apostle, called by David O. McKay, October 10, 1963 (1963-10-10) – January 2, 2018 (2018-01-02)"
89,Boyd K. Packer,"(1924-09-10)September 10, 1924","President of the Quorum of the Twelve Apostles, February 3, 2008 (2008-02-03) – July 3, 2015 (2015-07-03)Acting President of the Quorum of the Twelve Apostles, June 5, 1994 (1994-06-05) – January 27, 2008 (2008-01-27)Quorum of the Twelve Apostles, called by Joseph Fielding Smith, April 6, 1970 (1970-04-06) – July 3, 2015 (2015-07-03)LDS Church Apostle, called by Joseph Fielding Smith, April 9, 1970 (1970-04-09) – July 3, 2015 (2015-07-03)Assistant to the Quorum of the Twelve Apostles, called by David O. McKay, September 30, 1961 (1961-09-30) – April 6, 1970 (1970-04-06)"
90,Marvin J. Ashton,"(1915-05-06)May 6, 1915","Quorum of the Twelve Apostles, called by Joseph Fielding Smith, December 2, 1971 (1971-12-02) – February 25, 1994 (1994-02-25)LDS Church Apostle, called by Joseph Fielding Smith, December 2, 1971 (1971-12-02) – February 25, 1994 (1994-02-25)Assistant to the Quorum of the Twelve Apostles, called by David O. McKay, October 3, 1969 (1969-10-03) – December 2, 1971 (1971-12-02)"
91,Bruce R. McConkie,"(1915-07-29)July 29, 1915","Quorum of the Twelve Apostles, called by Harold B. Lee, October 12, 1972 (1972-10-12) – April 19, 1985 (1985-04-19)LDS Church Apostle, called by Harold B. Lee, October 12, 1972 (1972-10-12) – April 19, 1985 (1985-04-19)First Council of the Seventy, called by George Albert Smith, October 6, 1946 (1946-10-06) – October 12, 1972 (1972-10-12)"
92,L. Tom Perry,"(1922-08-05)August 5, 1922","Quorum of the Twelve Apostles, called by Spencer W. Kimball, April 6, 1974 (1974-04-06) – May 30, 2015 (2015-05-30)Apostle, called by Spencer W. Kimball, April 11, 1974 (1974-04-11) – May 30, 2015 (2015-05-30)Assistant to the Quorum of the Twelve Apostles, called by Harold B. Lee, October 6, 1972 (1972-10-06) – April 6, 1974 (1974-04-06)"
93,David B. Haight,"(1906-09-02)September 2, 1906","Quorum of the Twelve Apostles, called by Spencer W. Kimball, January 8, 1976 (1976-01-08) – July 31, 2004 (2004-07-31)LDS Church Apostle, called by Spencer W. Kimball, January 8, 1976 (1976-01-08) – July 31, 2004 (2004-07-31)Assistant to the Quorum of the Twelve Apostles, called by Joseph Fielding Smith, April 6, 1970 (1970-04-06) – January 8, 1976 (1976-01-08)"
94,James E. Faust,"(1920-07-31)July 31, 1920","Second Counselor in the First Presidency, called by Gordon B. Hinckley, March 12, 1995 (1995-03-12) – August 10, 2007 (2007-08-10)Quorum of the Twelve Apostles, called by Spencer W. Kimball, September 30, 1978 (1978-09-30) – March 12, 1995 (1995-03-12)LDS Church Apostle, called by Spencer W. Kimball, October 1, 1978 (1978-10-01) – August 10, 2007 (2007-08-10)Presidency of the First Quorum of the Seventy, called by Spencer W. Kimball, October 1, 1976 (1976-10-01) – September 30, 1978 (1978-09-30)First Quorum of the Seventy, called by Spencer W. Kimball, October 1, 1976 (1976-10-01) – September 30, 1978 (1978-09-30)Assistant to the Quorum of the Twelve Apostles, called by Harold B. Lee, October 6, 1972 (1972-10-06) – October 1, 1976 (1976-10-01)"
95,Neal A. Maxwell,"(1926-07-06)July 6, 1926","Quorum of the Twelve Apostles, called by Spencer W. Kimball, July 23, 1981 (1981-07-23) – July 21, 2004 (2004-07-21)LDS Church Apostle, called by Spencer W. Kimball, July 23, 1981 (1981-07-23) – July 21, 2004 (2004-07-21)Presidency of the First Quorum of the Seventy, called by Spencer W. Kimball, October 1, 1976 (1976-10-01) – July 23, 1981 (1981-07-23)First Quorum of the Seventy, called by Spencer W. Kimball, October 1, 1976 (1976-10-01) – July 23, 1981 (1981-07-23)Assistant to the Quorum of the Twelve Apostles, called by Spencer W. Kimball, April 6, 1974 (1974-04-06) – October 1, 1976 (1976-10-01)"
96,Russell M. Nelson," (1924-09-09) September 9, 1924 (age 100)","17th President of the Church of Jesus Christ of Latter-day Saints, January 14, 2018 (2018-01-14) – presentPresident of the Quorum of the Twelve Apostles, July 3, 2015 (2015-07-03)[21][22] – January 14, 2018 (2018-01-14)Quorum of the Twelve Apostles, called by Spencer W. Kimball, April 7, 1984 (1984-04-07) – January 14, 2018 (2018-01-14)LDS Church Apostle, called by Spencer W. Kimball, April 12, 1984 (1984-04-12)"
97,Dallin H. Oaks," (1932-08-12) August 12, 1932 (age 92)","First Counselor in the First Presidency, called by Russell M. Nelson, January 14, 2018 (2018-01-14) – presentPresident of the Quorum of the Twelve Apostles(with M. Russell Ballard as Acting President), January 14, 2018 (2018-01-14) – presentLDS Church Apostle, called by Spencer W. Kimball, May 3, 1984 (1984-05-03) – presentQuorum of the Twelve Apostles, called by Spencer W. Kimball, May 3, 1984 (1984-05-03) – January 14, 2018 (2018-01-14)"
98,M. Russell Ballard,"(1928-10-08)October 8, 1928","Acting President of the Quorum of the Twelve Apostles[23], called by Russell M. Nelson, January 14, 2018 (2018-01-14)[24]Quorum of the Twelve Apostles, called by Spencer W. Kimball, October 6, 1985 (1985-10-06) – November 12, 2023 (2023-11-12)LDS Church Apostle, called by Spencer W. Kimball, October 10, 1985 (1985-10-10)Presidency of the First Quorum of the Seventy, called by Spencer W. Kimball, February 21, 1980 (1980-02-21) – October 6, 1985 (1985-10-06)First Quorum of the Seventy, called by Spencer W. Kimball, April 3, 1976 (1976-04-03) – October 6, 1985 (1985-10-06)"
99,Joseph B. Wirthlin,"(1917-06-11)June 11, 1917","Quorum of the Twelve Apostles, called by Ezra Taft Benson, October 4, 1986 (1986-10-04) – December 1, 2008 (2008-12-01)LDS Church Apostle, called by Ezra Taft Benson, October 9, 1986 (1986-10-09) – December 1, 2008 (2008-12-01)Presidency of the First Quorum of the Seventy, called by Ezra Taft Benson, August 28, 1986 (1986-08-28) – October 4, 1986 (1986-10-04)First Quorum of the Seventy, called by Spencer W. Kimball, October 1, 1976 (1976-10-01) – October 4, 1986 (1986-10-04)Assistant to the Quorum of the Twelve Apostles, called by Spencer W. Kimball, April 4, 1975 (1975-04-04) – October 1, 1976 (1976-10-01)"
100,Richard G. Scott,"(1928-11-07)November 7, 1928","Quorum of the Twelve Apostles, called by Ezra Taft Benson, October 1, 1988 (1988-10-01) – September 22, 2015 (2015-09-22)LDS Church Apostle, called by Ezra Taft Benson, October 6, 1988 (1988-10-06) – September 22, 2015 (2015-09-22)Presidency of the First Quorum of the Seventy, called by Spencer W. Kimball, October 1, 1983 (1983-10-01) – October 1, 1988 (1988-10-01)First Quorum of the Seventy, called by Spencer W. Kimball, April 2, 1977 (1977-04-02) – October 1, 1988 (1988-10-01)"
101,Robert D. Hales,"(1932-08-24)August 24, 1932","Quorum of the Twelve Apostles, called by Ezra Taft Benson, April 2, 1994 (1994-04-02) – October 1, 2017 (2017-10-01)LDS Church Apostle, called by Ezra Taft Benson, April 7, 1994 (1994-04-07) – October 1, 2017 (2017-10-01)Presiding Bishop, called by Spencer W. Kimball, April 6, 1985 (1985-04-06) – April 2, 1994 (1994-04-02)First Quorum of the Seventy, called by Spencer W. Kimball, October 1, 1976 (1976-10-01) – April 6, 1985 (1985-04-06)Assistant to the Quorum of the Twelve Apostles, called by Spencer W. Kimball, April 4, 1975 (1975-04-04) – October 1, 1976 (1976-10-01)"
102,Jeffrey R. Holland," (1940-12-03) December 3, 1940 (age 83)","Quorum of the Twelve Apostles, called by Howard W. Hunter, June 23, 1994 (1994-06-23)LDS Church Apostle, called by Howard W. Hunter, June 23, 1994 (1994-06-23)First Quorum of the Seventy, called by Ezra Taft Benson, April 1, 1989 (1989-04-01) – June 23, 1994 (1994-06-23)"
103,Henry B. Eyring," (1933-05-31) May 31, 1933 (age 91)","Second Counselor in the First Presidency, called by Russell M. Nelson, January 14, 2018 (2018-01-14)First Counselor in the First Presidency, called by Thomas S. Monson, February 3, 2008 (2008-02-03) – January 2, 2018 (2018-01-02)Second Counselor in the First Presidency, called by Gordon B. Hinckley, October 6, 2007 (2007-10-06) – January 27, 2008 (2008-01-27)Quorum of the Twelve Apostles, called by Gordon B. Hinckley, April 1, 1995 (1995-04-01) – October 6, 2007 (2007-10-06)LDS Church Apostle, called by Gordon B. Hinckley, April 6, 1995 (1995-04-06)First Quorum of the Seventy, called by Ezra Taft Benson, October 3, 1992 (1992-10-03) – April 1, 1995 (1995-04-01)First Counselor in the Presiding Bishopric, called by Robert D. Hales, April 1, 1985 (1985-04-01) – October 3, 1992 (1992-10-03)"
104,Dieter F. Uchtdorf, (1940-11-06) 6 November 1940 (age 83),"Quorum of the Twelve Apostles, January 2, 2018 (2018-01-02) – presentSecond Counselor in the First Presidency, called by Thomas S. Monson, February 3, 2008 (2008-02-03) – January 2, 2018 (2018-01-02)Quorum of the Twelve Apostles, called by Gordon B. Hinckley, October 2, 2004 (2004-10-02) – February 3, 2008 (2008-02-03)LDS Church Apostle, called by Gordon B. Hinckley, October 7, 2004 (2004-10-07)Presidency of the Seventy, called by Gordon B. Hinckley, 15 August 2002 (2002-08-15) – 2 October 2004 (2004-10-02)First Quorum of the Seventy, called by Gordon B. Hinckley, April 7, 1996 (1996-04-07) – October 2, 2004 (2004-10-02)Second Quorum of the Seventy, called by Ezra Taft Benson, April 2, 1994 (1994-04-02) – April 7, 1996 (1996-04-07)"
105,David A. Bednar," (1952-06-15) June 15, 1952 (age 72)","Quorum of the Twelve Apostles, called by Gordon B. Hinckley, October 2, 2004 (2004-10-02)LDS Church Apostle, called by Gordon B. Hinckley, October 7, 2004 (2004-10-07)"
106,Quentin L. Cook," (1940-09-08) September 8, 1940 (age 84)","Quorum of the Twelve Apostles, called by Gordon B. Hinckley, October 6, 2007 (2007-10-06)LDS Church Apostle, called by Gordon B. Hinckley, October 11, 2007 (2007-10-11)Presidency of the Seventy, called by Gordon B. Hinckley, August 1, 2007 (2007-08-01) – October 6, 2007 (2007-10-06)First Quorum of the Seventy, called by Gordon B. Hinckley, April 5, 1998 (1998-04-05) – October 6, 2007 (2007-10-06)Second Quorum of the Seventy, called by Gordon B. Hinckley, April 6, 1996 (1996-04-06) – April 5, 1998 (1998-04-05)"
107,D. Todd Christofferson," (1945-01-24) January 24, 1945 (age 79)","Quorum of the Twelve Apostles, called by Thomas S. Monson, April 5, 2008 (2008-04-05)LDS Church Apostle, called by Thomas S. Monson, April 10, 2008 (2008-04-10)Presidency of the Seventy, called by Gordon B. Hinckley, August 15, 1998 (1998-08-15) – April 5, 2008 (2008-04-05)First Quorum of the Seventy, called by Ezra Taft Benson, April 3, 1993 (1993-04-03) – April 5, 2008 (2008-04-05)"
108,Neil L. Andersen," (1951-08-09) August 9, 1951 (age 73)","Quorum of the Twelve Apostles, called by Thomas S. Monson, April 4, 2009 (2009-04-04)LDS Church Apostle, called by Thomas S. Monson, April 9, 2009 (2009-04-09)Presidency of the Seventy, called by Gordon B. Hinckley, August 15, 2005 (2005-08-15) – April 4, 2009 (2009-04-04)First Quorum of the Seventy, called by Ezra Taft Benson, April 3, 1993 (1993-04-03) – April 4, 2009 (2009-04-04)"
109,Ronald A. Rasband," (1951-02-06) February 6, 1951 (age 73)","Quorum of the Twelve Apostles, called by Thomas S. Monson, October 3, 2015 (2015-10-03)LDS Church Apostle, called by Thomas S. Monson, October 8, 2015 (2015-10-08)Presidency of the Seventy, called by Gordon B. Hinckley, August 15, 2005 (2005-08-15) – October 3, 2015 (2015-10-03)First Quorum of the Seventy, called by Gordon B. Hinckley, April 1, 2000 (2000-04-01) – October 3, 2015 (2015-10-03)"
110,Gary E. Stevenson," (1955-08-06) August 6, 1955 (age 69)","Quorum of the Twelve Apostles, called by Thomas S. Monson, October 3, 2015 (2015-10-03)LDS Church Apostle, called by Thomas S. Monson, October 8, 2015 (2015-10-08)Presiding Bishop, called by Thomas S. Monson, March 31, 2012 (2012-03-31) – October 9, 2015 (2015-10-09)First Quorum of the Seventy, called by Thomas S. Monson, April 5, 2008 (2008-04-05) – March 31, 2012 (2012-03-31)"
111,Dale G. Renlund," (1952-11-13) November 13, 1952 (age 71)","Quorum of the Twelve Apostles, called by Thomas S. Monson, October 3, 2015 (2015-10-03)LDS Church Apostle, called by Thomas S. Monson, October 8, 2015 (2015-10-08)First Quorum of the Seventy, called by Thomas S. Monson, April 4, 2009 (2009-04-04) – October 3, 2015 (2015-10-03)"
112,Gerrit W. Gong," (1953-12-23) December 23, 1953 (age 70)","Quorum of the Twelve Apostles, called by Russell M. Nelson, March 31, 2018 (2018-03-31)LDS Church Apostle, called by Russell M. Nelson, April 5, 2018 (2018-04-05)Presidency of the Seventy, called by Thomas S. Monson, October 6, 2015 (2015-10-06) – March 31, 2018 (2018-03-31)First Quorum of the Seventy, called by Thomas S. Monson, April 3, 2010 (2010-04-03)[3][4] – March 31, 2018 (2018-03-31)"
113,Ulisses Soares," (1958-10-02) October 2, 1958 (age 65)","Quorum of the Twelve Apostles, called by Russell M. Nelson, March 31, 2018 (2018-03-31)LDS Church Apostle, called by Russell M. Nelson, April 5, 2018 (2018-04-05)Presidency of the Seventy, called by Thomas S. Monson, January 6, 2013 (2013-01-06) – March 31, 2018 (2018-03-31)First Quorum of the Seventy, called by Gordon B. Hinckley, April 2, 2005 (2005-04-02) – March 31, 2018 (2018-03-31)"
114,Patrick Kearon," (1961-07-18) July 18, 1961 (age 63)","Quorum of the Twelve Apostles, called by Russell M. Nelson, December 7, 2023 (2023-12-07)LDS Church Apostle, called by Russell M. Nelson, December 7, 2023 (2023-12-07)Presidency of the SeventyFirst Quorum of the Seventy"
115,Joseph Smith,"(1805-12-23)December 23, 1805","1st President of the Church of Christ (later the Church of Jesus Christ of Latter Day Saints)[27], April 6, 1830 (1830-04-06) – June 27, 1844 (1844-06-27)"
116,Oliver Cowdery,"(1806-10-03)October 3, 1806","Assistant Counselor in the First Presidency, called by Joseph Smith, September 3, 1837 (1837-09-03) – April 11, 1838 (1838-04-11)Assistant President of the Church, called by Joseph Smith, December 5, 1834 (1834-12-05) – April 11, 1838 (1838-04-11)Second Elder of the Church, called by Joseph Smith, April 6, 1830 (1830-04-06) – December 5, 1834 (1834-12-05)Latter Day Saint Apostle, called by Joseph Smith, 1829 (aged 22) – April 12, 1838 (1838-04-12)"
